date;year;doy;day_modvege;mean_modvege;mean_obs
2006-05-24;2006;144;144;10935,910012392478;3252,780
2006-07-19;2006;200;200;6848,226965139412;6742,290
2006-10-16;2006;289;289;2375,152942772701;5667,570
2007-05-23;2007;143;508;10823,906381540584;4317,605
2007-08-01;2007;213;578;5829,220600076924;5781,215
2008-03-16;2008;76;806;1121,300934341875;5038,265
2008-06-20;2008;172;902;13034,504862195136;8103,680
2008-08-05;2008;218;948;6628,973374095123;8116,735
2008-10-13;2008;287;1017;3092,156358563726;5119,170
2009-03-11;2009;70;1165;1817,999841912303;5199,865
2010-03-04;2010;63;1523;1056,980702946654;6920,695
2010-05-26;2010;146;1606;4361,897410206981;5146,805
2010-07-20;2010;201;1661;7597,616510981337;7734,585
2011-02-23;2011;54;1879;1354,935071086972;7032,570
2011-05-24;2011;144;1969;11708,347881747753;6056,530
2011-07-20;2011;201;2026;5673,364689725800;5674,375
2012-03-05;2012;65;2255;957,690319253339;4995,970
2012-05-24;2012;145;2335;7066,950375156228;4669,865
2012-07-19;2012;201;2391;7474,907204178022;8560,345
2012-10-15;2012;289;2479;2225,830104865855;5602,775
2013-03-04;2013;63;2618;1026,309400799996;4296,250
2013-05-29;2013;149;2704;4863,423943270502;5476,110
2013-07-17;2013;198;2753;9531,649770036947;6655,070
2013-10-17;2013;290;2845;2637,390689988157;6798,125
2014-02-26;2014;57;2977;1139,362405295709;4610,900
2014-05-27;2014;147;3067;11717,566356567224;6902,775
2014-07-22;2014;203;3123;6856,199052988271;6755,900
2014-10-14;2014;287;3207;3045,271250566589;5306,390
2015-03-06;2015;65;3350;1210,729307285503;3497,500
2015-05-28;2015;148;3433;12641,712498921675;5499,725
2015-07-21;2015;202;3487;5133,886013129379;4056,525
2015-10-13;2015;286;3571;1695,115285380902;4462,360
2016-02-26;2016;57;3707;831,108654180852;3019,725
2016-05-25;2016;146;3796;7325,355845114239;3547,920
2016-07-20;2016;202;3852;7832,991133575340;4789,655
2016-10-18;2016;292;3942;1639,187340277203;5620,210
2017-02-27;2017;58;4073;779,031913395557;3142,085
2017-05-22;2017;142;4157;8361,426195254731;3347,430
2017-07-24;2017;205;4220;5168,860093397582;4498,540
2017-10-16;2017;289;4304;2513,913971319266;4597,220
2018-03-01;2018;60;4440;1276,621637159766;2093,405
2018-05-23;2018;143;4523;11486,757674994138;4396,945
2018-07-23;2018;204;4584;6129,238788789488;3005,625
2018-10-15;2018;288;4668;1793,364098148672;2868,330
